2	537025274.0827	3957822285.1497
3	537025274.0823	3957820669.6946
4	537025274.0824	3957819054.2389
5	537025274.0825	3957817438.7838
7	537026646.9368	3957844901.5306
10	537026646.9365	3957835208.7966
11	537026646.9365	3957833593.3409
12	537026646.9364	3957831977.8851
13	537026646.9363	3957830362.4293
14	537026646.9361	3957828746.9733
15	537026646.9360	3957827131.5179
16	537026646.9370	3957825516.0622
17	537026646.9369	3957823900.6060
22	537026646.9363	3957815823.3275
23	537026646.9369	3957814207.8714
24	537026646.9365	3957812592.4164
25	537026646.9362	3957807746.0480
27	537026646.9354	3957804515.1360
31	537028019.7920	3957840055.1633
32	537028019.7918	3957838439.7081
33	537028019.7907	3957836824.2522
49	537028019.7918	3957810976.9597
70	537029392.6442	3957804515.1356
75	537030765.4988	3957806130.5916
79	537032138.3532	3957806130.5923
81	537033511.2075	3957844901.5305
82	537034884.0606	3957846516.9863
84	537034884.0616	3957806130.5920
89	537036256.9149	3957802899.6808
90	537037629.7691	3957846516.9861
91	537037629.7701	3957844901.5300
99	537040375.4778	3957804515.1357
102	537041748.3315	3957804515.1366
103	537043121.1855	3957846516.9868
109	537044494.0398	3957846516.9857
111	537044494.0404	3957843286.0752
113	537044494.0396	3957804515.1365
118	537045866.8938	3957804515.1361
129	537048612.6018	3957802899.6798
136	537049985.4564	3957804515.1356
140	537051358.3115	3957841670.6205
144	537051358.3116	3957804515.1364
147	537052731.1655	3957841670.6194
154	537054104.0194	3957841670.6204
156	537054104.0199	3957838439.7081
174	537055476.8736	3957838439.7083
176	537055476.8734	3957833593.3409
197	537056849.7278	3957828746.9738
198	537056849.7275	3957825516.0615
200	537056849.7275	3957822285.1501
207	537056849.7269	3957809361.5044
212	537058222.5827	3957835208.7966
214	537058222.5821	3957828746.9730
228	537059595.4352	3957812592.4156
386	537025274.0823	3957825516.0621
387	537025274.0820	3957822285.1508
388	537025274.0820	3957820669.6946
390	537025274.0832	3957817438.7833
391	537025274.0819	3957804515.1368
393	537026646.9376	3957843286.0754
394	537026646.9375	3957840055.1642
395	537026646.9371	3957835208.7964
396	537026646.9370	3957833593.3411
397	537026646.9370	3957831977.8853
398	537026646.9369	3957830362.4294
399	537026646.9366	3957828746.9735
400	537026646.9367	3957827131.5174
402	537026646.9364	3957823900.6061
407	537026646.9365	3957815823.3273
408	537026646.9366	3957814207.8712
409	537026646.9362	3957812592.4162
411	537026646.9366	3957806130.5927
414	537028019.7902	3957844901.5308
417	537028019.7913	3957838439.7076
418	537028019.7913	3957836824.2520
434	537028019.7915	3957810976.9595
438	537028019.7908	3957804515.1363
456	537030765.4987	3957846516.9858
461	537030765.4989	3957804515.1363
462	537032138.3529	3957846516.9865
465	537032138.3533	3957804515.1370
467	537034884.0613	3957846516.9863
469	537034884.0612	3957806130.5918
470	537036256.9156	3957846516.9860
474	537036256.9158	3957802899.6805
475	537037629.7698	3957846516.9862
479	537037629.7701	3957802899.6796
482	537039002.6238	3957802899.6804
485	537040375.4771	3957802899.6791
488	537043121.1863	3957846516.9866
493	537043121.1855	3957802899.6802
494	537044494.0405	3957846516.9855
499	537045866.8947	3957846516.9865
504	537045866.8945	3957802899.6810
505	537047239.7488	3957844901.5300
509	537047239.7483	3957802899.6807
510	537048612.6028	3957844901.5309
514	537048612.6025	3957802899.6804
515	537049985.4573	3957844901.5298
522	537049985.4568	3957802899.6801
523	537051358.3117	3957844901.5305
525	537051358.3121	3957841670.6203
537	537052731.1652	3957804515.1360
557	537055476.8732	3957841670.6192
559	537055476.8734	3957838439.7081
560	537055476.8735	3957835208.7968
562	537055476.8734	3957828746.9737
575	537055476.8735	3957806130.5925
576	537055476.8737	3957804515.1359
592	537056849.7274	3957809361.5045
596	537058222.5822	3957841670.6188
597	537058222.5820	3957835208.7961
598	537058222.5821	3957833593.3400
599	537058222.5828	3957828746.9730
600	537058222.5825	3957825516.0617
601	537058222.5826	3957823900.6055
602	537058222.5824	3957822285.1499
606	537058222.5830	3957814207.8713
607	537058222.5829	3957812592.4159
608	537058222.5829	3957810976.9598
609	537059595.4362	3957820669.6940
610	537059595.4362	3957819054.2383
611	537059595.4361	3957817438.7825
612	537059595.4359	3957814207.8707
614	537059595.4358	3957810976.9590
