	1	537025274.1000	3957825516.0002
	5	537025274.1006	3957817439.0003
	6	537025274.1005	3957804515.0003
	7	537026990.1993	3957844902.0005
	8	537026990.1989	3957843285.9994
	12	537026990.1998	3957831978.0007
	14	537026990.1999	3957828747.0001
	23	537026990.1996	3957814208.0004
	24	537026990.2003	3957812592.0005
	32	537028706.2002	3957838439.9999
	33	537028706.1996	3957836823.9998
	49	537030422.2994	3957806131.0001
	51	537032138.3997	3957846516.9991
	53	537032138.3993	3957806130.9997
	54	537032138.4002	3957804515.0007
	57	537035570.5000	3957844901.9998
	60	537037286.5999	3957846516.9995
	64	537037286.5996	3957802900.0012
	70	537040718.7002	3957802900.0002
	71	537042434.7992	3957844902.0001
	76	537044150.8005	3957804515.0001
	96	537051015.0995	3957802900.0002
	102	537054447.1998	3957841670.9992
	122	537056163.3001	3957835208.9999
	142	537057879.3993	3957833593.0002
	143	537057879.3994	3957828746.9997
	144	537057879.3997	3957825516.0004
	156	537059595.4000	3957814207.9989
	303	537025274.1007	3957825515.9997
	304	537025274.0998	3957822284.9994
	305	537025274.1006	3957820670.0002
	307	537025274.0999	3957817439.0003
	309	537026990.2000	3957844902.0000
	311	537026990.2000	3957840055.0006
	312	537026990.2002	3957835209.0003
	313	537026990.1996	3957833593.0002
	314	537026990.1994	3957831978.0005
	315	537026990.1999	3957830362.0002
	316	537026990.1995	3957828747.0004
	318	537026990.1998	3957825516.0001
	325	537026990.1998	3957814208.0002
	326	537026990.1995	3957812592.0003
	327	537026990.1996	3957807746.0013
	330	537028706.2013	3957846516.9993
	334	537028706.1997	3957838440.0004
	335	537028706.2003	3957836823.9993
	348	537028706.2001	3957804514.9990
	349	537030422.2991	3957844902.0005
	356	537032138.3998	3957804515.0005
	358	537035570.5005	3957846516.9996
	361	537035570.5008	3957804514.9994
	362	537037286.6006	3957846516.9990
	366	537037286.5999	3957802900.0011
	369	537039002.5994	3957802900.0004
	372	537040718.6999	3957802900.0000
	373	537042434.7999	3957844901.9999
	375	537044150.8007	3957846516.9990
	379	537045866.9003	3957846516.9987
	384	537045866.9001	3957802900.0004
	385	537047582.9991	3957844902.0004
	388	537047583.0001	3957802900.0013
	392	537049299.0001	3957802900.0004
	393	537051015.1001	3957844901.9993
	424	537056163.3003	3957835208.9997
	438	537056163.2996	3957807746.0002
	441	537056163.3003	3957802900.0002
	442	537057879.4002	3957841671.0005
	443	537057879.3994	3957835209.0003
	444	537057879.4000	3957833592.9998
	445	537057879.4001	3957828747.0007
	446	537057879.3995	3957825515.9999
	447	537057879.3999	3957823901.0002
	455	537059595.4003	3957820669.9994
	456	537059595.3998	3957819053.9998
	458	537059595.4006	3957814207.9996
	460	537059595.4010	3957810976.9991

