1	537025274.082707	3957825516.06166	400
2	537025274.082707	3957822285.15013	400
3	537025274.082707	3957820669.69437	400
4	537025274.082707	3957819054.23861	400
5	537025274.082707	3957817438.78284	400
6	537025274.082707	3957804515.13673	400
7	537026646.936842	3957844901.53083	400
8	537026646.936842	3957843286.07507	400
9	537026646.936842	3957840055.16354	400
10	537026646.936842	3957835208.79625	400
11	537026646.936842	3957833593.34048	400
12	537026646.936842	3957831977.88472	400
13	537026646.936842	3957830362.42895	400
14	537026646.936842	3957828746.97319	400
15	537026646.936842	3957827131.51743	400
16	537026646.936842	3957825516.06166	400
17	537026646.936842	3957823900.60590	400
18	537026646.936842	3957822285.15013	400
19	537026646.936842	3957820669.69437	400
20	537026646.936842	3957819054.23861	400
21	537026646.936842	3957817438.78284	400
22	537026646.936842	3957815823.32708	400
23	537026646.936842	3957814207.87131	400
24	537026646.936842	3957812592.41555	400
25	537026646.936842	3957807746.04826	400
26	537026646.936842	3957806130.59249	400
27	537026646.936842	3957804515.13673	400
28	537028019.790978	3957846516.98660	400
29	537028019.790978	3957844901.53083	400
30	537028019.790978	3957843286.07507	400
31	537028019.790978	3957840055.16354	400
32	537028019.790978	3957838439.70777	400
33	537028019.790978	3957836824.25201	400
34	537028019.790978	3957835208.79625	400
35	537028019.790978	3957833593.34048	400
36	537028019.790978	3957831977.88472	400
37	537028019.790978	3957830362.42895	400
38	537028019.790978	3957828746.97319	400
39	537028019.790978	3957827131.51743	400
40	537028019.790978	3957825516.06166	400
41	537028019.790978	3957823900.60590	400
42	537028019.790978	3957822285.15013	400
43	537028019.790978	3957820669.69437	400
44	537028019.790978	3957819054.23861	400
45	537028019.790978	3957817438.78284	400
46	537028019.790978	3957815823.32708	400
47	537028019.790978	3957814207.87131	400
48	537028019.790978	3957812592.41555	400
49	537028019.790978	3957810976.95979	400
50	537028019.790978	3957809361.50402	400
51	537028019.790978	3957807746.04826	400
52	537028019.790978	3957806130.59249	400
53	537028019.790978	3957804515.13673	400
54	537029392.645113	3957844901.53083	400
55	537029392.645113	3957843286.07507	400
56	537029392.645113	3957841670.61930	400
57	537029392.645113	3957840055.16354	400
58	537029392.645113	3957838439.70777	400
59	537029392.645113	3957836824.25201	400
60	537029392.645113	3957835208.79625	400
61	537029392.645113	3957833593.34048	400
62	537029392.645113	3957831977.88472	400
63	537029392.645113	3957830362.42895	400
